,Nom,Adresse,Latitude,Longitude,Cluster
27,  ITCOM Services ,11 place Général de Gaulle - 13001 Marseille,43.2947558,5.3764112,0
28,SA  Ingerop Méditerranée ,Ilot Allar 7 rue du devoir Bat C 4ème étage - 13344 Marseille Cedex 15,43.323637,5.365353099999999,0
29,Agence d’architecture  TOGU ,149 rue de Paradis - 13006 Marseille,43.2873071,5.3795283,0
30,SAS  GARCIA INGENIERIE ,164 Chemin Saint Jean du désert - 13005 Marseille,43.2940506,5.4124843,0
31,M. Romain d'Ortoli ,331 Promenade de la corniche - 13007 Marseille,43.2733808,5.3630594,0
32,M. Olivier Garcia ,164 chemin Saint Jean du Désert - 13005 MARSEILLE,43.2940506,5.4124843,0
33,M. Alain Anselme ,22 avenue André Roussin Immeuble Xanadu - 13016 Marseille,43.355973399999996,5.338479,0
34,Entreprise  EDELEN ,POLE ALPHA SUD - ZI ST MITRE  85 AV DE LA ROCHE FOURCADE - 13683 AUBAGNE,43.284853999999996,5.537783,0
35,Bureau d'étude  AXIOLIS  ,210 avenue de Toulon - 13010  Marseille ,43.284445,5.3952735,0
36,Agence d’architecture  Atelier Empreinte ,297 Avenue du Mistral   ZI ATHELIA IV  - 13600 LA CIOTAT,43.2085083,5.598203599999999,0
37,SAS  CEREG TERRITOIRES ,260 AVENUE DU COL DE L'ANGE  - 13420 GEMENOS,43.2798109,5.623979,0
38,Bureau d'étude  A-CORROS  ,17 chemin de séverin - 13200  Arles ,43.678582500000005,4.6032505,0
39,Bureau d'étude  BUREAU D'ETUDES TECHNIQUES PAQUOT (BETP)  ,43 Rue Roger Salengro - 13890  Mouriès ,43.6902771,4.8673598,0
40,Bureau d'étude  INGENIERIE ET CONSEILS  ,31 Avenue Paul Cézanne - 13090  Aix-en-Provence ,43.5406533,5.4454937,0
41,Bureau d'étude  Bureau d'Etudes Bertoli-Gimond  ,87 Avenue de Saint-Julien - 13012  Marseille ,43.3067079,5.4208172,0
42,Bureau d'étude  COFEX  ,5 - 7 Rue des Lauriers Roses - 13010  Marseille ,43.277817999999996,5.4357421,0
43,Bureau d'étude  IDEM  ,74 Avenue de Mazargues - 13008  Marseille ,43.2677104,5.389037,0
44,M.  DMI Provence  ,298 Avenue du Club Hippique  - 13090 Aix-en-Provence ,43.51491779999999,5.4331515999999995,1
45,Bureau d'étude  MEDIATERRE CONSEIL  ,352 Avenue du Prado - 13008  Marseille ,43.2711201,5.388503500000001,1
46,Mme Alice Quille ,7/9 rue Jean Mermoz - 13008 Marseille,43.277722600000004,5.3875592,2
47,Agence d’architecture  Tangram Architectes ,10 Rue Virgile Marron   - 13005 Marseille,43.290136700000005,5.3906575,2
48,Agence d’architecture  CABINET D'ARCHITECTE MAZZELLA MAGALI  ,Résidence Claudel Parc Bat E - 151 Boulevard Paul Claudel - 13010  Marseille ,43.2689481,5.416246299999999,2
49,  CITÉQUIP ,96 boulevard de l'Europe - 13127 Vitrolles,43.4209331,5.265396599999999,2
50,Agence d’architecture  Atelier 4 + ,84 rue Borde - 13008 Marseille,43.27951470000001,5.3935933,2
51,Agence d’architecture  SARL SOCIETE D'ARCHITECTURE REMY SAADA  ,30 Rue Louis Rège - 13008  Marseille ,43.281271999999994,5.3912882999999985,2
